dataset	model	rank	feature	mean_abs_shap
pcp_aac_ctd	xgboost	8	_PolarizabilityD1100	0.2653702702926432
pcp_aac_ctd	xgboost	9	_SolventAccessibilityD1050	0.2606255608933046
pcp_aac_ctd	xgboost	10	_SolventAccessibilityD3075	0.2504766321332505
pcp_aac_ctd	xgboost	11	_SecondaryStrC3	0.2502775310481122
pcp_aac_ctd	xgboost	12	_PolarizabilityD2100	0.24907697847083515
pcp_aac_ctd	xgboost	13	_ChargeT23	0.24760718573199886
pcp_aac_ctd	xgboost	14	_NormalizedVDWVD2001	0.2114664158858049
pcp_aac_ctd	xgboost	15	_PolarizabilityD3025	0.20824351786159273
pcp_aac_ctd	xgboost	16	_PolarityD1075	0.20189858606938896
pcp_aac_ctd	xgboost	17	_HydrophobicityD3025	0.19923542169491212
pcp_aac_ctd	xgboost	18	_SecondaryStrD1100	0.19228367028292653
pcp_aac_ctd	xgboost	19	_PolarizabilityD2025	0.18944047747897752
pcp_aac_ctd	xgboost	20	_SecondaryStrC1	0.18559160303346586
pcp_aac_ctd_dpc	xgboost	1	P	0.4670342786592238
pcp_aac_ctd_dpc	xgboost	2	pI	0.4576329771853594
pcp_aac_ctd_dpc	xgboost	3	_ChargeC3	0.3075156941807983
pcp_aac_ctd_dpc	xgboost	4	instability	0.298514959720394
pcp_aac_ctd_dpc	xgboost	5	E	0.298039378872374
pcp_aac_ctd_dpc	xgboost	6	_PolarizabilityD2001	0.25879905151625454
pcp_aac_ctd_dpc	xgboost	7	_PolarizabilityD1100	0.252592845013891
pcp_aac_ctd_dpc	xgboost	8	_ChargeT23	0.23538605023507647
pcp_aac_ctd_dpc	xgboost	9	_HydrophobicityT13	0.21189673778652215
pcp_aac_ctd_dpc	xgboost	10	_HydrophobicityD3025	0.1907753640628885
pcp_aac_ctd_dpc	xgboost	11	_SecondaryStrD3001	0.19008480816838944
pcp_aac_ctd_dpc	xgboost	12	_SecondaryStrC3	0.18821983545336016
pcp_aac_ctd_dpc	xgboost	13	_SecondaryStrD1001	0.18451281915373005
pcp_aac_ctd_dpc	xgboost	14	EY	0.18148758325672248
pcp_aac_ctd_dpc	xgboost	15	_ChargeD1100	0.1792756788367172
pcp_aac_ctd_dpc	xgboost	16	_ChargeT13	0.17901807031682693
pcp_aac_ctd_dpc	xgboost	17	length	0.16944023389617602
pcp_aac_ctd_dpc	xgboost	18	_SecondaryStrC1	0.16750875564830553
