dataset	seed	model	val_mcc	test_mcc	test_accuracy	test_f1	test_precision	test_recall
pcp_aac_ctd	2	xgboost	0.7132825035177587	0.7488578221288901	0.9333333333333333	0.7878787878787878	0.8125	0.7647058823529411
pcp_aac_ctd	3	svm_linear	0.6574750314253359	0.6918855882440867	0.9142857142857143	0.7428571428571429	0.7222222222222222	0.7647058823529411
pcp_aac_ctd	3	svm_rbf	0.8618420371603257	0.820797503120229	0.9523809523809523	0.8484848484848485	0.875	0.8235294117647058
pcp_aac_ctd	3	logistic_regression	0.6950150912113306	0.7085788514171758	0.9142857142857143	0.7567567567567568	0.7	0.8235294117647058
pcp_aac_ctd	3	random_forest	0.8264206038650982	0.8172708784757683	0.9523809523809523	0.8275862068965517	1.0	0.7058823529411765
pcp_aac_ctd	3	knn	0.6356845346445098	0.7266525869841677	0.9142857142857143	0.7692307692307693	0.6818181818181818	0.8823529411764706
pcp_aac_ctd	3	xgboost	0.8264206038650982	0.7767551850454794	0.9428571428571428	0.8	0.9230769230769231	0.7058823529411765
pcp_aac_ctd	4	svm_linear	0.6803033965014529	0.5993048164611495	0.8857142857142857	0.6666666666666666	0.631578947368421	0.7058823529411765
pcp_aac_ctd	4	svm_rbf	0.8975274678557507	0.7783040514449475	0.9428571428571428	0.7857142857142857	1.0	0.6470588235294118
pcp_aac_ctd	4	logistic_regression	0.8090094444882143	0.6851411892434004	0.9047619047619048	0.7368421052631579	0.6666666666666666	0.8235294117647058
pcp_aac_ctd	4	random_forest	0.7520657131391064	0.6533952933247937	0.9142857142857143	0.64	1.0	0.47058823529411764
pcp_aac_ctd	4	knn	0.7754499770171333	0.666462773481876	0.9047619047619048	0.7222222222222222	0.6842105263157895	0.7647058823529411
pcp_aac_ctd	4	xgboost	0.7897188828807975	0.6533952933247937	0.9142857142857143	0.64	1.0	0.47058823529411764
pcp_aac_ctd	5	svm_linear	0.7894385026737968	0.6159503725080723	0.8857142857142857	0.6842105263157895	0.65	0.7222222222222222
pcp_aac_ctd	5	svm_rbf	0.8163443762793043	0.7915285842451476	0.9428571428571428	0.8235294117647058	0.875	0.7777777777777778
pcp_aac_ctd	5	logistic_regression	0.820797503120229	0.6570183044350496	0.8952380952380953	0.717948717948718	0.6666666666666666	0.7777777777777778
pcp_aac_ctd	5	random_forest	0.696630546019236	0.7520657131391064	0.9333333333333333	0.7586206896551724	1.0	0.6111111111111112
pcp_aac_ctd	5	knn	0.7810706122033858	0.7977571985407899	0.9333333333333333	0.8292682926829268	0.7391304347826086	0.9444444444444444
pcp_aac_ctd	5	xgboost	0.7783040514449475	0.7879788693213197	0.9428571428571428	0.8125	0.9285714285714286	0.7222222222222222
pcp_aac_ctd	6	svm_linear	0.6395194077954184	0.623285034168894	0.8952380952380953	0.6857142857142857	0.6666666666666666	0.7058823529411765
pcp_aac_ctd	6	svm_rbf	0.8264206038650982	0.7767551850454794	0.9428571428571428	0.8	0.9230769230769231	0.7058823529411765
pcp_aac_ctd	6	logistic_regression	0.593843467470141	0.623285034168894	0.8952380952380953	0.6857142857142857	0.6666666666666666	0.7058823529411765
pcp_aac_ctd	6	random_forest	0.7132825035177587	0.7783040514449475	0.9428571428571428	0.7857142857142857	1.0	0.6470588235294118
pcp_aac_ctd	6	knn	0.7201931413999583	0.6769181411375511	0.9142857142857143	0.7272727272727273	0.75	0.7058823529411765
pcp_aac_ctd	6	xgboost	0.8623164985025762	0.7360081490818708	0.9333333333333333	0.7586206896551724	0.9166666666666666	0.6470588235294118
pcp_aac_ctd	7	svm_linear	0.7894385026737968	0.7707990516243899	0.9333333333333333	0.8108108108108109	0.7894736842105263	0.8333333333333334
pcp_aac_ctd	7	svm_rbf	0.7810706122033858	0.8623164985025762	0.9619047619047619	0.875	1.0	0.7777777777777778
pcp_aac_ctd	7	logistic_regression	0.820797503120229	0.8090094444882143	0.9428571428571428	0.8421052631578947	0.8	0.8888888888888888
pcp_aac_ctd	7	random_forest	0.7360081490818708	0.6731456008918131	0.9142857142857143	0.6666666666666666	1.0	0.5
pcp_aac_ctd	7	knn	0.7085788514171758	0.6755624416527038	0.8952380952380953	0.7317073170731707	0.6521739130434783	0.8333333333333334
pcp_aac_ctd	7	xgboost	0.8163443762793043	0.6731456008918131	0.9142857142857143	0.6666666666666666	1.0	0.5
pcp_aac_ctd	8	svm_linear	0.6427374537191196	0.7833679783648669	0.9333333333333333	0.8205128205128205	0.7619047619047619	0.8888888888888888
pcp_aac_ctd	8	svm_rbf	0.8549556701145169	0.8618420371603257	0.9619047619047619	0.8823529411764706	0.9375	0.8333333333333334
pcp_aac_ctd	8	logistic_regression	0.6427374537191196	0.7201931413999583	0.9142857142857143	0.7692307692307693	0.7142857142857143	0.8333333333333334
pcp_aac_ctd	8	random_forest	0.696630546019236	0.7496972056282853	0.9333333333333333	0.7741935483870968	0.9230769230769231	0.6666666666666666
pcp_aac_ctd	8	knn	0.6851411892434004	0.7201931413999583	0.9142857142857143	0.7692307692307693	0.7142857142857143	0.8333333333333334
pcp_aac_ctd	8	xgboost	0.7360081490818708	0.7915285842451476	0.9428571428571428	0.8235294117647058	0.875	0.7777777777777778
pcp_aac_ctd	9	svm_linear	0.6918855882440867	0.8927371841115679	0.9714285714285714	0.9090909090909091	0.9375	0.8823529411764706
pcp_aac_ctd	9	svm_rbf	0.8623164985025762	0.928840728025648	0.9809523809523809	0.9375	1.0	0.8823529411764706
pcp_aac_ctd	9	logistic_regression	0.6647509578544061	0.8596256684491979	0.9619047619047619	0.8823529411764706	0.8823529411764706	0.8823529411764706
