feature	mean_abs_shap
_SolventAccessibilityD2025	0.0008564645024923083
DV	0.0008538198036838575
_SecondaryStrD2025	0.0008471389963438171
TA	0.0008336956438579928
IV	0.0008308274151708731
AS	0.0008284392872394462
_SolventAccessibilityD2001	0.0008253751187171585
_SolventAccessibilityD3001	0.0008199356086350335
RE	0.0008147899769439547
_HydrophobicityD1100	0.0008135890583360856
CQ	0.0008108224803802566
R	0.0008071423180506572
PV	0.0008062160489083127
VW	0.0008014520377998759
_PolarityD3100	0.0008006939525651475
IM	0.0008000533818520575
GI	0.0007987937267866539
GS	0.0007983689925971477
_PolarizabilityT23	0.0007922474908277602
_SecondaryStrD1050	0.0007881618092856227
RC	0.0007848389383616393
S	0.000775555972153565
_PolarityD3075	0.000772140972468638
DL	0.0007684855169066298
AF	0.0007638028435723797
RT	0.0007598518393240669
KS	0.0007579499379086439
PG	0.0007537591370951592
SL	0.0007521928707471362
SW	0.0007468397177581425
_PolarizabilityD1025	0.0007453019800097959
RH	0.0007410488233472116
FC	0.0007406257636616168
CS	0.0007324482319119604
MN	0.0007322598140840079
_HydrophobicityD2075	0.0007306020914079364
_SolventAccessibilityD2100	0.0007259646059933843
LV	0.0007168725768483338
_SecondaryStrD1025	0.00071549327229093
_SecondaryStrT12	0.0007116569044537996
_SecondaryStrD2100	0.0007109315873972819
_NormalizedVDWVD2050	0.000709094751799476
DE	0.0007046959718390162
GR	0.0006917953720085215
HD	0.0006884035235148402
IG	0.0006816144385787445
_SolventAccessibilityD2050	0.0006722795967401915
_HydrophobicityD1050	0.0006721095171885169
HR	0.0006685680773759805
ID	0.0006675788558115612
EA	0.0006634698784394839
YR	0.0006596266607657505
_ChargeD3100	0.0006571360147298868
_PolarityD2100	0.0006555297325985525
GC	0.000651545607672782
ED	0.0006473182110077844
IC	0.0006463969395617657
_SolventAccessibilityD2075	0.0006346562879014808
QR	0.0006346436341232222
LW	0.0006332694485237305
TS	0.0006310100379951038
RA	0.0006284440928471251
GW	0.0006190967241459582
PQ	0.0006149995427030102
VK	0.0006116187644753173
AR	0.0006080165464947004
DY	0.0006059538405605335
PN	0.0006027228969529933
DM	0.0006018428301983587
CF	0.0005887494633166193
MA	0.0005869841638179844
TV	0.0005868934872061849
HE	0.0005863225403710238
GF	0.0005816010427733063
CN	0.0005782842871510669
ES	0.0005776816461031763
TH	0.0005762018746217481
DW	0.0005751171120691407
RQ	0.0005715947312810986
NI	0.0005704625668697959
LH	0.0005659058469012067
VT	0.0005650578261431009
RI	0.0005608895418163882
WQ	0.0005586102585976769
_PolarityD3001	0.0005564810430685413
NH	0.0005483188906989821
SC	0.000543953376820904
PL	0.0005434215825704046
_PolarizabilityD1075	0.000542115039629066
RY	0.0005413960922301287
FV	0.0005389421209920819
CK	0.0005283036781382783
AG	0.0005274856609915122
KC	0.0005230587671813616
MS	0.0005196338179133774
_HydrophobicityD1075	0.000517002871125009
FI	0.0005131558735372834
D	0.0005102027731269898
CP	0.0005096014695751398
_ChargeD2001	0.0005042191727159322
_SolventAccessibilityD3025	0.0004972451980572232
VF	0.0004902641401586728
KD	0.0004884306636643106
SQ	0.00048759384792681956
_SolventAccessibilityC3	0.0004823193570458688
FP	0.00048208184760804363
FG	0.00048127374772209924
NW	0.00047769498103425266
TN	0.0004747200413702949
